Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;% Arena;-;=;98.14;%;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;% Materia orgánica;-;=;1.16;%;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;% Limo/Arcilla;-;=;1.59;%;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;% Humedad;-;=;28.434;%;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;% Grava;-;=;0.27;%;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Níquel;-;=;11;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Potencial Redox;-;=;423;mV;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Mercurio;-;=;1.9;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Hierro;-;=;41996;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Cromo;-;=;14;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Zinc;-;=;96;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Cadmio;-;=;0.13;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Cobre;-;=;17;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Plomo;-;=;26;mg/kg PS;;-;-;0
L-B20;11/03/2025;14:05;LITORALES;Sedimentos;Manganeso;-;=;549;mg/kg PS;;-;-;0
