Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;% Arena;-;=;99.23;%;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Manganeso;-;=;260;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Mercurio;-;=;0.09;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Cromo;-;=;18;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Zinc;-;=;75;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Plomo;-;=;20;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Níquel;-;=;11;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Cobre;-;=;8;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Cadmio;-;=;0.06;mg/kg PS;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;% Limo/Arcilla;-;=;0.17;%;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;% Materia orgánica;-;=;1.05;%;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;% Humedad;-;=;29.104;%;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Potencial Redox;-;=;356;mV;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;% Grava;-;=;0.61;%;;-;-;0
L-BI10;06/02/2025;10:35;LITORALES;Sedimentos;Hierro;-;=;15736;mg/kg PS;;-;-;0
