Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Níquel;-;=;8;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Potencial Redox;-;=;322;mV;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;% Limo/Arcilla;-;=;4.52;%;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Mercurio;-;=;0.05;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;% Arena;-;=;95.32;%;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Hierro;-;=;29733;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;% Grava;-;=;0.16;%;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Manganeso;-;=;327;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;% Materia orgánica;-;=;0.89;%;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Cobre;-;=;8;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Cadmio;-;=;0.09;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Cromo;-;=;8;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;% Humedad;-;=;25.144;%;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Zinc;-;=;46;mg/kg PS;;-;-;0
L-N10;11/03/2025;12:28;LITORALES;Sedimentos;Plomo;-;=;12;mg/kg PS;;-;-;0
