Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Manganeso;-;=;942;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Hierro;-;=;108178;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;% Materia orgánica;-;=;1.19;%;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;% Limo/Arcilla;-;=;1.11;%;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;% Arena;-;=;98.74;%;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;% Grava;-;=;0.15;%;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Potencial Redox;-;=;410;mV;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;% Humedad;-;=;27.534;%;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Cadmio;-;=;0.21;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Zinc;-;=;177;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Cromo;-;=;47;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Níquel;-;=;40;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Plomo;-;=;39;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Mercurio;-;=;0.16;mg/kg PS;;-;-;0
L-O10;10/03/2025;8:26;LITORALES;Sedimentos;Cobre;-;=;39;mg/kg PS;;-;-;0
