Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;% Arena;-;=;93.81;%;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Cadmio;-;=;1.1;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;% Humedad;-;=;33.533;%;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;% Materia orgánica;-;=;1.73;%;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;% Limo/Arcilla;-;=;5.92;%;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Potencial Redox;-;=;263;mV;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Níquel;-;=;42;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Zinc;-;=;658;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Cromo;-;=;69;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Mercurio;-;=;0.6;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Hierro;-;=;31990;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Manganeso;-;=;235;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Plomo;-;=;425;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;Cobre;-;=;118;mg/kg PS;;-;-;0
L-OI10;06/02/2025;13:45;LITORALES;Sedimentos;% Grava;-;=;0.27;%;;-;-;0
