Sample Point Code;Date;Hour;Type;Subgroup;Parameter;Species;Operator;Value;Unit;Additional information;Situation;Level;Depth
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;% Materia orgánica;-;=;1.39;%;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Cadmio;-;=;0.09;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;% Arena;-;=;97.57;%;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;% Grava;-;=;0;%;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Potencial Redox;-;=;350;mV;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;% Humedad;-;=;24.401;%;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Cobre;-;=;14;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Níquel;-;=;20;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Plomo;-;=;25;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Zinc;-;=;83;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Cromo;-;=;29;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Mercurio;-;=;1.2;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Hierro;-;=;29667;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;Manganeso;-;=;358;mg/kg PS;;-;-;0
L-U10;10/03/2025;9:15;LITORALES;Sedimentos;% Limo/Arcilla;-;=;2.43;%;;-;-;0
